"General","Général"
"Send review request, as soon as the order status changes to","Envoyez une demande d'avis dès que le statut de commande passe à"
"Export orders now","Exporter des commandes maintenant"
"Send review requests to customers, that have ordered within","Envoyer des demande d'avis aux clients qui ont commandé dans la période suivante"
"I would like to receive a review invite by e-mail from Trusted Shops after each purchase. I can revoke my consent at any time.","Je souhaite recevoir une demande d'évaluation par e-mail de la part de Trusted Shops après chaque achat. Je peux révoquer mon consentement à tout moment."
"Thank you for confirming your participation in the review invites.<br /> You can unsubscribe at any time within the emails.","Merci pour la confirmation de votre participation aux e-mails de demandes d'avis.<br /> Vous avez la possibilité de vous désabonner à tout moment dans les e-mails."
"In order to send legally binding review invites, users must have given their consent to the transmission of their e-mail addresses to Trusted Shops<br /><br />Please make sure that you also declare the new checkbox in your data protection declaration.","Afin d'envoyer des demandes d'avis juridiquement correctes, le consentement des utilisateurs pour la transmission de leur adresse e-mail à Trusted Shops est obligatoire<br /><br />Veuillez-vous assurer de déclarez également la nouvelle case à cocher dans votre déclaration de protection des données."
"Confirmation: Review invites from Trusted Shops","Confirmation : Demandes d'avis Trusted Shops"
"Thank you for subscribing to Trusted Shops review invites. In order for us to improve our products and our service quality for you, your regular feedback is important to us.","Merci de vous abonner aux demandes d'avis Trusted Shops. Afin de pouvoir améliorer nos produits et la qualité de nos services pour vous, vos Feedback réguliers nous sont très importants."
"Please confirm your e-mail address [user e-mail address] to receive review reminders after each purchase:","Veuillez confirmer votre adresse e-mail [adresse e-mail de l'utilisateur] pour recevoir des demandes d'évaluations après chaque achat:",
"Consent can be revoked at any time with effect for the future by sending us a message or clicking on the unsubscribe link in the e-mails.","Le consentement peut être révoqué à tout moment en nous envoyant un message ou en cliquant sur le lien de désabonnement figurant dans les e-mails avec effet pour l'avenir."
"Review Sticker","Vignette avis site"
"Show Shop Reviews","Afficher la vignette avis site"
"Font Family","Police"
"Show Review Amount","Nombre d'avis"
"Minimal Rating","Note minimale affichée"
"Background Color","Couleur de l'arrière-plan"
"Please note that in order for this option to work properly, you need to change the standard settings in your My Trusted Shops account. Log in to your My Trusted Shops account and go to Reviews > Settings > Collecting reviews and activate &quot;Review Trigger API&quot;.<br><br><b>Legal Notice:</b> Legal compliance requires obtaining valid consent from every customer in order to transmit their email address to Trusted Shops.","Attention, afin d'activer cette fonctionnalité, vous devez changer les réglages de votre compte My Trusted Shops. Connectez-vous à votre compte et allez dans Evaluations / Configuration / Collecter les avis et activez API &quot;review trigger&quot;.<br><br><b>Information juridique:</b> Le consentement valide des clients pour la transmission de leur adresse e-mail à Trusted Shops est nécessaire du point de la conformité juridique."
"Manual invites according to Magento order status","Envoyer les rappels d'avis via Magento en fonction de l'état de la commande"
"Export orders matching the status","Commandes d'exportation avec le statut"
"Sign up","Se connecter"
"Create your account","Créer un compte"
"Or","ou"
"Do you already have an account?","Vous avez déjà un compte My Trusted Shops?"
"Please insert your &quot;My Trusted Shops&quot; credentials:","Merci de renseigner vos identifiants"
"Forgot your password?","Mot de passe oublié?"
"Sign in","Se connecter"
"Export orders for Storeview","Exportez les commandes pour le magasin"
