"General","Allgemein"
"In order to send legally binding review invites, users must have given their consent to the transmission of their e-mail addresses to Trusted Shops<br /><br />Please make sure that you also declare the new checkbox in your data protection declaration.","Um rechtssichere Bewertungserinnerungen zu versenden, muss das Einverständnis der User zur Übermittlung Ihrer E-Mailadressen an Trusted Shops vorliegen<br /><br />Bitte achten Sie darauf, die neue Checkbox auch in Ihrer Datenschutzerklärung zu deklarieren."
"Configuration","Konfiguration"
"Brand","Marke"
"Product Review Tab Label","Bezeichnung für Produktbewertungs-Reiter"
"Home Page (not recommended)","Homepage (nicht empfohlen)"
"Use Magento order status to trigger invite emails","Magento Bestellstatus nutzen, um Bewertungsanfragen zu versenden"
"Automated invites according to Magento order status","Automatische Bewertungsanfragen in Abhängigkeit vom Magento Bestellstatus versenden"
"Send review request, as soon as the order status changes to","Bewertungsanfrage versenden, sobald der Bestellstatus wechselt zu"
"Export orders now","Bestellungen jetzt exportieren"
"Send review requests to customers, that have ordered within","Bewertungsanfragen an Kunden versenden, die im folgenden Zeitraum bestellt haben"
"Configure your Trusted Shops IDs","Konfigurieren Sie Ihre Trusted Shops IDs"
"Review Sticker","Shopbewertungssticker"
"Show Shop Reviews","Shopbewertungen anzeigen"
"Font Family","Schriftart"
"Show Review Amount","Anzahl Bewertungen"
"Minimal Rating","Mindestnote"
"Background Color","Hintergrundfarbe"
"Please note that in order for this option to work properly, you need to change the standard settings in your My Trusted Shops account. Log in to your My Trusted Shops account and go to Reviews > Settings > Collecting reviews and activate &quot;Review Trigger API&quot;.<br><br><b>Legal Notice:</b> Legal compliance requires obtaining valid consent from every customer in order to transmit their email address to Trusted Shops.","Bitte beachten Sie: Um diese Einstellung zu nutzen, müssen Sie die Standardeinstellungen in Ihrem My Trusted Shops Account ändern. Loggen Sie sich in Ihren My Trusted Shops Account ein und gehen Sie zu Bewertungen --> Einstellungen --> Bewertungen sammeln und aktivieren Sie &quot;Review Trigger API&quot;.<br><br><b>Rechtlicher Hinweis:</b> Zur Einhaltung rechtlicher Bestimmungen ist das Einholen einer gültigen Zustimmung von jedem Kunden, um seine E-Mail-Adresse an Trusted Shops zu übermitteln erforderlich."
"Manual invites according to Magento order status","Manuelle Einladungen in Abhängigkeit vom Magento Bestellstatus versenden"
"Export orders matching the status","Bestellungen exportieren mit dem Status"
"Sign up","Jetzt anmelden"
"Create your account","Erstellen Sie Ihr Konto"
"Or","oder"
"Do you already have an account?","Sie haben schon ein Konto?"
"Please insert your &quot;My Trusted Shops&quot; credentials:","Bitte melden Sie sich mit Ihren &quot;My Trusted Shops&quot; Zugangsdaten an."
"Forgot your password?","Passwort vergessen?"
"Sign in","Jetzt anmelden"
"Export orders for Storeview","Bestellungen exportieren für Storeview"
